child,parent
us-gaap:AssetsCurrent,us-gaap:Assets
us-gaap:AssetsNoncurrent,us-gaap:Assets
us-gaap:LiabilitiesCurrent,us-gaap:Liabilities
us-gaap:LiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:RetainedEarningsAccumulatedDeficit,us-gaap:StockholdersEquity
us-gaap:CommonStockValue,us-gaap:StockholdersEquity
us-gaap:SalesRevenueNet,us-gaap:Revenues
us-gaap:ContractWithCustomerRevenue,us-gaap:Revenues
us-gaap:CostOfGoodsAndServicesSold,us-gaap:CostsAndExpenses
us-gaap:SellingGeneralAndAdministrativeExpense,us-gaap:CostsAndExpenses
us-gaap:GrossProfit,us-gaap:OperatingIncomeLoss
us-gaap:OperatingExpenses,us-gaap:OperatingIncomeLoss
us-gaap:IncomeLossFromContinuingOperations,us-gaap:NetIncomeLoss
us-gaap:CashAndCashEquivalentsAtCarryingValueContinuingAndDiscontinuedOperations,us-gaap:CashAndCashEquivalentsAtCarryingValue
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDiscontinuedOperations,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
us-gaap:AccountsReceivableNetCurrent,us-gaap:Assets
us-gaap:InventoryNet,us-gaap:Assets
us-gaap:PropertyPlantAndEquipmentNet,us-gaap:Assets
us-gaap:AccountsPayableCurrent,us-gaap:Liabilities
us-gaap:LongTermDebtNoncurrent,us-gaap:Liabilities
us-gaap:AccruedLiabilitiesCurrent,us-gaap:Liabilities
us-gaap:DeferredRevenueCurrent,us-gaap:Liabilities
us-gaap:AdditionalPaidInCapital,us-gaap:StockholdersEquity
us-gaap:TreasuryStockValue,us-gaap:StockholdersEquity
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:Revenues
us-gaap:CostOfRevenue,us-gaap:CostsAndExpenses
us-gaap:ResearchAndDevelopmentExpense,us-gaap:CostsAndExpenses
us-gaap:AccountsPayable,us-gaap:AccountsPayableAndAccruedLiabilities
